award_id,recipient_name,awarding_agency_name,award_amount,action_date,award_description,source_file,contract_start_date,contract_end_date,contract_duration_days,duration_category,theme_racial_equity,theme_gender_equality,theme_disability_access,theme_lgbtq+_inclusion,theme_veterans,theme_economic_equity,type_training,type_policy,type_research,type_infrastructure,type_services,type_community,org_university,org_research,org_government,org_nonprofit,org_healthcare,org_private,award_size_category,number_of_themes,number_of_types
1019-2023-002,CONNEXUS CORP,Agency for International Development (USAID),"$317,624.00 ",4/10/2023,"THE PURPOSE OF THIS SUBCONTRACT IS TO ASSIST DT GLOBAL BY PROVIDING TECHNICAL ADVISORY AND CAPACITY
 BUILDING SERVICES IN GENDER EQUITY AND SOCIAL INCLUSION (GESI). CONNEXUS WILL SUPPORT SOCIAL
 INCLUSION BY APPLYING A GENDER, YOUTH, AND MINORITIES LENS TO ACTIVITIES ACROSS BOTH OBJECTIVE 1:
 ATTRACTING INVESTMENT AND OBJECTIVE 2: INCREASED ACCESS TO AND UTILIZATION OF DIVERSIFIED FINANCE.
 CONNEXUS WILL PROVIDE TECHNICAL ASSISTANCE TO ADDRESS THE SPECIFIC ACCESS TO INVESTMENT AND FINANCE
 CONSTRAINTS FACED BY WOMEN, YOUTH, MINORITIES, AND OTHER UNDER-REPRESENTED GROUPS.",contracts_sub,4/10/2023,4/10/2023,0,Single Action,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Medium ($100K - $1M),1,2
P52819-5,NATIONAL CENTER FOR WOMEN AND INFORMATION TECHNOLOGY,Department of Defense (DOD),"$212,218.76 ",3/24/2024,"DIVERSITY, EQUITY, AND INCLUSION ANALYSIS AND RECRUITMENT FOR DARPA",contracts_sub,3/24/2024,3/24/2024,0,Single Action,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium ($100K - $1M),0,1
72027820C00005-BB,BETTER BUSINESS,Agency for International Development (USAID),"$176,096.79 ",2/15/2024,"MELA FACILITATED A MISSION-WIDE CLA SELF-ASSESSMENT EVENT WITH TECHNICAL AND SUPPORT OFFICES IDENTIFYING, REFLECTING, AND PRIORITIZING ACTION ITEMS IN RELEVANT CLA FRAMEWORK COMPONENTS. BUILDING ON THE RESULTS FROM THE CLA SELF-ASSESSMENT, A TAILORED MISSION OF LEADERS (MOL) APPROACH WILL BE IMPLEMENTED TO EMPOWER USAID/JORDAN STAFF AND PARTNER STAKEHOLDERS FROM EVERY HIRING CATEGORY TO LEAD, BUILD RELATIONSHIPS, WORK COLLABORATIVELY, LEARN FROM ONE ANOTHER, MANAGE DEVELOPMENT PROCESSES, AND INCORPORATE AND PROMOTE DIVERSITY, EQUITY, INCLUSION AND ACCESSIBILITY (DEIA) ACROSS MISSION OPERATIONS.
 IN IMPLEMENTING THE MOL INITIATIVE, MELA WILL PROVIDE UP TO TWENTY-FIVE (25) EXECUTIVE COACHING SESSIONS FOR GROUPS AND INDIVIDUALS AND A ONE-WEEK LEADERSHIP DEVELOPMENT TRAINING FOR UP TO 25 MISSION STAFF ACROSS OFFICE TEAMS EMPHASIZING AN INTERACTIVE, TEAM- AND CULTURE-BUILDING EXPERIENCE. THE ONE-WEEK LEADERSHIP DEVELOPMENT TRAINING CONTENT WILL BUILD ON AND CONNECT TO THE FEDERAL EXECUTIVE INSTITUTEÃ‚  S LEADERSHIP TRAINING COURSES AND MAY INCLUDE USAID MISSION STAFF WHO HAVE UNDERGONE SUCH TRAINING AS PRESENTERS AND/OR DEVELOPERS OF THIS TRAINING. THE TOPICS WILL INCLUDE ADAPTIVE LEADERSHIP COMPETENCIES AND BEHAVIORS, COACHING MINDSET, EFFECTIVE CHANGE MANAGEMENT, RESILIENCE, COMMUNICATION SKILLS, CREATING HIGH-PERFORMING TEAMS, GAINING ANOTHER PERSPECTIVE, TEAM SPIRIT, AND SELF-AWARENESS. THE LEADERSHIP TRAINING SHOULD ALSO ALIGN WITH THE LEADERSHIP BEHAVIOR CHARTER1 - I.E. FILLING GAPS/CAPACITY ON WHAT THE MISSION DETERMINES AS THE MOST IMPORTANT LEADERSHIP BEHAVIORS AND SKILLS.
 EXECUTIVE COACHING SESSIONS WILL BEGIN FOLLOWING AN INITIAL MISSION-WIDE STAFF RETREAT COMPRISING Ã‚  ORGANIZATIONAL DEVELOPMENT WORKSHOP WEEKÃ‚   THAT WILL TAKE PLACE IN LATE JANUARY 2024. THIS WEEK-LONG RETREAT SERIES WILL BE HELD EVERY SIX MONTHS, AND THE EXECUTIVE COACHING SESSIONS WILL OCCUR BETWEEN THESE MISSION-WIDE EVENTS. COACHING WILL BE DELIVERED IN RESPONSE TO REQUESTS FROM PARTICULAR OFFICES OR TEAMS FOR ASSISTANCE IN PLANNING AND FACILITATION AS NEEDS EMERGE. THIS COULD BE TEAM/OFFICE-LEVEL SUPPORT WITH SPECIFIC ISSUES, MINI-RETREATS, ETC. OR WORKING WITH THE LEADERSHIP TEAM ON STAFF CHANGES, COHESION, ETC",contracts_sub,2/15/2024,2/15/2024,0,Single Action,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium ($100K - $1M),1,5
24-058,DONNA LENHOFF ASSOCIATES,Department of Labor (DOL),"$85,293.00 ",12/14/2023,"DONNA LENHOFF ASSOCIATES WILL SERVE AS AN EQUAL EMPLOYMENT OPPORTUNITY (EEO) SUBJECT MATTEREXPERT (SME), CREATING ONLINE TRAINING RESOURCES AND DEVELOPING AND DELIVERING WORKSHOPS ON ISSUES OF EEO, AFFIRMATIVE ACTION, AND DIVERSITY, EQUITY, AND INCLUSION (DEI), AS WELL AS PROVIDING CUSTOMIZED SUPPORT TO SPONSORS AND OTHER RA STAKEHOLDERS BASED ON THE OPTION YEAR 3 CONTRACT DELIVERABLES, IN ORDER TO CONTRIBUTE TO JFF MEETING THE OBJECTIVE OF INCREASING THE PROPORTION OF UNDERREPRESENTED POPULATIONS IN THESE PROGRAMS IN THE ADVANCED MANUFACTURING AND AGRICULTURE INDUSTRY SECTOR.",contracts_sub,12/14/2023,7/8/2024,207,Medium Term (3-12 months),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Small ($10K - $100K),0,2
8361.MSU.01,MICHIGAN STATE UNIVERSITY,Agency for International Development (USAID),"$199,065.00 ",8/5/2024,"THE TEAM OF
 EXPERTS (THE Ã‚  LEARNING REVIEW TEAMÃ‚  ) FROM MICHIGAN STATE UNIVERSITYÃ‚  S AGBIORESEARCH
 RESEARCH EVALUATION AND DATA ANALYTICS TEAM, IN PARTNERSHIP WITH THE COLLEGE OF AGRICULTURE AND
 NATURAL RESOURCESÃ‚   OFFICE OF DIVERSITY, EQUITY, AND INCLUSION AND THE ALLIANCE FOR AFRICAN PARTNERSHIP, PROPOSES CONDUCTING A LEARNING REVIEW OF USAIDÃ‚  S MSI PARTNERSHIP INITIATIVE TO
 DETERMINE WHETHER THIS PILOT PROGRAM IS MEETING ITS OBJECTIVES IN SUPPORTING MSIS. THE LEARNING
 REVIEW TEAM PROPOSES MIXED METHODS RESEARCH TO DOCUMENT THE OUTPUTS AND OUTCOMES OF THE
 MSI PARTNERSHIP INITIATIVE. THE TEAM WILL DEVELOP A FRAMEWORK TO DOCUMENT KEY LESSONS LEARNED
 AND IDENTIFY PROMISING PRACTICES TO SUPPORT FUTURE MSI ENGAGEMENT STRATEGIES AND USAID MSI
 PROGRAMMING FOR SUSTAINABILITY AND MAXIMUM MUTUAL BENEFIT BETWEEN USAID AND MSIS.",contracts_sub,8/5/2024,8/5/2024,0,Single Action,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium ($100K - $1M),0,4
1170776,EAU CLAIRE COOPERATIVE HEALTH CENTER,Department of Health and Human Services (HHS),"$442,680.00 ",9/20/2024,"THE NIH ALL OF US RESEARCH PROGRAM (AOURP) AIMS TO PROMOTE DIVERSITY BY ENSURING INCLUSIVE ENROLLMENT FROM HISTORICALLY UNDERREPRESENTED GROUPS IN BIOMEDICAL RESEARCH. IT FOCUSES ON COLLECTING DATA FROM THESE COMMUNITIES THROUGH PARTNERSHIPS WITH FEDERALLY QUALIFIED HEALTH CENTERS (FQHCS), WHICH HAVE ENROLLED OVER 14,000 PARTICIPANTS FROM UNDERSERVED POPULATIONS. FQHCS HAVE INCREASED THEIR CAPACITY TO SUPPORT THE PROGRAM BY COLLABORATING AND APPLYING LESSONS LEARNED TO ENHANCE PROCESSES UNDER MITREÃ‚  S CENTRAL COORDINATION",contracts_sub,9/20/2024,9/20/2024,0,Single Action,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Medium ($100K - $1M),0,3
1170771,"COMMUNITY HEALTH CENTER, INCORPORATED",Department of Health and Human Services (HHS),"$858,000.00 ",9/20/2024,"THE NIH ALL OF US RESEARCH PROGRAM (AOURP) AIMS TO PROMOTE DIVERSITY BY ENSURING INCLUSIVE ENROLLMENT FROM HISTORICALLY UNDERREPRESENTED GROUPS IN BIOMEDICAL RESEARCH. IT FOCUSES ON COLLECTING DATA FROM THESE COMMUNITIES THROUGH PARTNERSHIPS WITH FEDERALLY QUALIFIED HEALTH CENTERS (FQHCS), WHICH HAVE ENROLLED OVER 14,000 PARTICIPANTS FROM UNDERSERVED POPULATIONS. FQHCS HAVE INCREASED THEIR CAPACITY TO SUPPORT THE PROGRAM BY COLLABORATING AND APPLYING LESSONS LEARNED TO ENHANCE PROCESSES UNDER MITREÃ‚  S CENTRAL COORDINATION.",contracts_sub,9/20/2024,9/20/2024,0,Single Action,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Medium ($100K - $1M),0,3
1170762,CORPORACION DE SERVICIOS DE SALUD Y MEDICINA AVANZADA,Department of Health and Human Services (HHS),"$272,000.00 ",9/20/2024,"THE NIH ALL OF US RESEARCH PROGRAM (AOURP) AIMS TO PROMOTE DIVERSITY BY ENSURING INCLUSIVE ENROLLMENT FROM HISTORICALLY UNDERREPRESENTED GROUPS IN BIOMEDICAL RESEARCH. IT FOCUSES ON COLLECTING DATA FROM THESE COMMUNITIES THROUGH PARTNERSHIPS WITH FEDERALLY QUALIFIED HEALTH CENTERS (FQHCS), WHICH HAVE ENROLLED OVER 14,000 PARTICIPANTS FROM UNDERSERVED POPULATIONS. FQHCS HAVE INCREASED THEIR CAPACITY TO SUPPORT THE PROGRAM BY COLLABORATING AND APPLYING LESSONS LEARNED TO ENHANCE PROCESSES UNDER MITREÃ‚  S CENTRAL COORDINATION.",contracts_sub,9/20/2024,9/20/2024,0,Single Action,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Medium ($100K - $1M),0,3
1170774,CHEROKEE HEALTH SYSTEMS,Department of Health and Human Services (HHS),"$442,680.00 ",9/20/2024,"THE NIH ALL OF US RESEARCH PROGRAM (AOURP) AIMS TO PROMOTE DIVERSITY BY ENSURING INCLUSIVE ENROLLMENT FROM HISTORICALLY UNDERREPRESENTED GROUPS IN BIOMEDICAL RESEARCH. IT FOCUSES ON COLLECTING DATA FROM THESE COMMUNITIES THROUGH PARTNERSHIPS WITH FEDERALLY QUALIFIED HEALTH CENTERS (FQHCS), WHICH HAVE ENROLLED OVER 14,000 PARTICIPANTS FROM UNDERSERVED POPULATIONS. FQHCS HAVE INCREASED THEIR CAPACITY TO SUPPORT THE PROGRAM BY COLLABORATING AND APPLYING LESSONS LEARNED TO ENHANCE PROCESSES UNDER MITREÃ‚  S CENTRAL COORDINATION",contracts_sub,9/20/2024,9/20/2024,0,Single Action,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Medium ($100K - $1M),0,3
1170773,"SUN RIVER HEALTH, INC.",Department of Health and Human Services (HHS),"$50,000.00 ",9/20/2024,"THE NIH ALL OF US RESEARCH PROGRAM (AOURP) AIMS TO PROMOTE DIVERSITY BY ENSURING INCLUSIVE ENROLLMENT FROM HISTORICALLY UNDERREPRESENTED GROUPS IN BIOMEDICAL RESEARCH. IT FOCUSES ON COLLECTING DATA FROM THESE COMMUNITIES THROUGH PARTNERSHIPS WITH FEDERALLY QUALIFIED HEALTH CENTERS (FQHCS), WHICH HAVE ENROLLED OVER 14,000 PARTICIPANTS FROM UNDERSERVED POPULATIONS. FQHCS HAVE INCREASED THEIR CAPACITY TO SUPPORT THE PROGRAM BY COLLABORATING AND APPLYING LESSONS LEARNED TO ENHANCE PROCESSES UNDER MITREÃ‚  S CENTRAL COORDINATION.",contracts_sub,9/20/2024,9/20/2024,0,Single Action,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Small ($10K - $100K),0,3
